0,1,ID,Symbol
0.06,0.94,4071,TM4SF1
0.11,0.89,11254,SLC6A14
0.14,0.86,9122,SLC16A4
0.15,0.85,54829,ASPN
0.18,0.82,441869,ANKRD65
0.18,0.82,10103,TSPAN1
0.19,0.81,200150,PLD5
0.2,0.8,339366,ADAMTSL5
0.21,0.79,633,BGN
0.21,0.79,56978,PRDM8
0.21,0.79,7130,TNFAIP6
0.22,0.78,3624,INHBA
0.23,0.77,441027,TMEM150C
0.23,0.77,2218,FKTN
0.24,0.76,6374,CXCL5
0.24,0.76,9507,ADAMTS4
0.24,0.76,64840,PORCN
0.25,0.75,50615,IL21R
0.25,0.75,92949,ADAMTSL1
0.25,0.75,977,CD151
0.25,0.75,2152,F3
0.26,0.74,1903,S1PR3
0.26,0.74,7477,WNT7B
0.26,0.74,81619,TSPAN14
0.27,0.73,57121,LPAR5
0.27,0.73,92126,DSEL
0.27,0.73,8828,NRP2
0.27,0.73,1284,COL4A2
0.27,0.73,1291,COL6A1
0.27,0.73,10288,LILRB2
0.28,0.72,3038,HAS3
0.28,0.72,285,ANGPT2
0.28,0.72,5324,PLAG1
0.28,0.72,4313,MMP2
0.28,0.72,56034,PDGFC
0.28,0.72,10859,LILRB1
0.29,0.71,4157,MC1R
0.29,0.71,1230,CCR1
0.29,0.71,7976,FZD3
0.29,0.71,6382,SDC1
0.29,0.71,2213,FCGR2B
0.29,0.71,2535,FZD2
0.29,0.71,2790,GNG10
0.29,0.71,284207,METRNL
0.3,0.7,967,CD63
0.3,0.7,1803,DPP4
0.3,0.7,11006,LILRB4
0.3,0.7,7057,THBS1
0.3,0.7,9180,OSMR
0.3,0.7,6385,SDC4
0.31,0.69,3685,ITGAV
0.31,0.69,3687,ITGAX
0.31,0.69,5054,SERPINE1
0.31,0.69,22943,DKK1
0.31,0.69,3572,IL6ST
0.32,0.68,387882,C12orf75
0.32,0.68,6405,SEMA3F
0.32,0.68,1241,LTB4R
0.32,0.68,3915,LAMC1
0.32,0.68,3732,CD82
0.32,0.68,3481,IGF2
0.32,0.68,3678,ITGA5
0.33,0.67,9076,CLDN1
0.33,0.67,6352,CCL5
0.33,0.67,22856,CHSY1
0.33,0.67,10630,PDPN
0.33,0.67,64866,CDCP1
0.33,0.67,221981,THSD7A
0.33,0.67,718,C3
0.33,0.67,8490,RGS5
0.34,0.66,3459,IFNGR1
0.34,0.66,54331,GNG2
0.34,0.66,29780,PARVB
0.34,0.66,346389,MACC1
0.34,0.66,3077,HFE
0.34,0.66,5724,PTAFR
0.34,0.66,2767,GNA11
0.34,0.66,196264,MPZL3
0.34,0.66,6666,SOX12
0.34,0.66,1295,COL8A1
0.35,0.65,4094,MAF
0.35,0.65,8320,EOMES
0.35,0.65,7422,VEGFA
0.35,0.65,971,CD72
0.35,0.65,10156,RASA4
0.35,0.65,356,FASLG
0.35,0.65,6004,RGS16
0.36,0.64,5329,PLAUR
0.36,0.64,8743,TNFSF10
0.36,0.64,64132,XYLT2
0.36,0.64,960,CD44
0.36,0.64,3455,IFNAR2
0.36,0.64,1009,CDH11
0.36,0.64,89790,SIGLEC10
0.36,0.64,10085,EDIL3
0.37,0.63,9227,LRAT
0.37,0.63,6777,STAT5B
0.37,0.63,11040,PIM2
0.37,0.63,2768,GNA12
0.37,0.63,4501,MT1X
0.37,0.63,9957,HS3ST1
0.37,0.63,10052,GJC1
0.37,0.63,23002,DAAM1
0.37,0.63,6778,STAT6
0.37,0.63,3553,IL1B
0.37,0.63,220074,LRTOMT
0.37,0.63,6482,ST3GAL1
0.37,0.63,83861,RSPH3
0.37,0.63,6776,STAT5A
0.37,0.63,113,ADCY7
0.37,0.63,285440,CYP4V2
0.38,0.62,84441,MAML2
0.38,0.62,3280,HES1
0.38,0.62,1471,CST3
0.38,0.62,27086,FOXP1
0.38,0.62,201895,SMIM14
0.38,0.62,3488,IGFBP5
0.38,0.62,10046,MAMLD1
0.39,0.61,7040,TGFB1
0.39,0.61,10457,GPNMB
0.39,0.61,2770,GNAI1
0.39,0.61,100271927,RASA4B
0.39,0.61,7035,TFPI
0.39,0.61,91252,SLC39A13
0.39,0.61,6868,ADAM17
0.39,0.61,864,RUNX3
0.39,0.61,2260,FGFR1
0.39,0.61,7903,ST8SIA4
0.39,0.61,116986,AGAP2
0.4,0.6,10221,TRIB1
0.4,0.6,4261,CIITA
0.4,0.6,2212,FCGR2A
0.4,0.6,4170,MCL1
0.4,0.6,3717,JAK2
0.4,0.6,157,ADRBK2
0.4,0.6,928,CD9
0.4,0.6,929,CD14
0.4,0.6,9235,IL32
0.41,0.59,6675,UAP1
0.41,0.59,3667,IRS1
0.41,0.59,55620,STAP2
0.41,0.59,64764,CREB3L2
0.41,0.59,5552,SRGN
0.41,0.59,84102,SLC41A2
0.41,0.59,4035,LRP1
0.41,0.59,6452,SH3BP2
0.41,0.59,3987,LIMS1
0.41,0.59,9446,GSTO1
0.42,0.58,9021,SOCS3
0.42,0.58,29923,HILPDA
0.42,0.58,57178,ZMIZ1
0.42,0.58,375449,MAST4
0.42,0.58,252839,TMEM9
0.42,0.58,5272,SERPINB9
0.42,0.58,50515,CHST11
0.42,0.58,7421,VDR
